138.186.208.0/22 #AS27775 Telecommunicationcompany Suriname - TeleSur, SR
168.195.216.0/22 #AS27775 Telecommunicationcompany Suriname - TeleSur, SR
186.179.128.0/17 #AS27775 Telecommunicationcompany Suriname - TeleSur, SR
190.98.0.0/17 #AS27775 Telecommunicationcompany Suriname - TeleSur, SR
200.1.156.0/22 #AS27775 Telecommunicationcompany Suriname - TeleSur, SR
200.2.160.0/19 #AS27775 Telecommunicationcompany Suriname - TeleSur, SR
168.121.84.0/22 #AS52398 Digicel Suriname NV, SR
200.7.148.0/22 #AS52398 Digicel Suriname NV, SR
192.175.48.1/32 #AS263240 Telecommunicationcompany Suriname - TeleSur, SR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
168.195.216.0/22 #AS263799 CARIBBEAN COMMUNICATION SERVICES, SR
200.1.208.0/21 #AS265822 PARBONET N.V., SR
45.68.21.0/24 #AS272136 SURINAME INTERNET EXCHANGE SUR-IX, SR
45.68.22.0/24 #AS272136 SURINAME INTERNET EXCHANGE SUR-IX, SR
192.175.48.1/32 #AS272852 SURINAME INTERNET EXCHANGE SUR-IX, SR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
